TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-09-03,2024-09-03,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7742.00,7827.25,7683.00,7769.00,7783.40,7698.55,,7767.90,,,3962,30732420.00,867,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,814.45,840.00,802.85,836.95,840.00,802.95,,836.35,,,21108,17436696.00,1372,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1503.80,1527.70,1495.35,1509.00,1509.00,1505.25,,1509.35,,,44683,67407913.00,3717,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,64.13,64.90,61.00,62.21,62.21,64.13,,62.21,,,156201,9858616.00,855,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,98.49,102.00,97.20,100.86,101.00,96.83,,100.86,,,266810,26800121.00,1994,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,9.40,9.95,9.20,9.55,9.52,9.60,,9.56,,,41429,396127.00,91,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.03,8.13,7.80,7.91,7.99,8.04,,7.91,,,34580,275590.00,244,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.99,12.37,11.52,11.95,11.90,11.81,,11.95,,,21680,260164.00,115,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,212.70,218.20,212.40,213.95,213.95,212.70,,214.18,,,90942,19574701.00,1707,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,193.00,193.00,180.30,180.70,180.30,184.00,,180.71,,,417,76075.00,46,F1,1,,,,,
